,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"City of London, City of London",51.5156177,-0.0919983,Goodman Steak House Restaurant,51.51439802733941,-0.09074537518056014,Steakhouse
1,"City of London, City of London",51.5156177,-0.0919983,Hawksmoor Guildhall,51.515647370116184,-0.09099734746424006,Steakhouse
2,"City of London, City of London",51.5156177,-0.0919983,City Càphê,51.51474961713268,-0.09154479356888842,Vietnamese Restaurant
3,"City of London, City of London",51.5156177,-0.0919983,Daunt Books,51.51398169143981,-0.09299522000314557,Bookstore
4,"City of London, City of London",51.5156177,-0.0919983,The Ned Hotel,51.5135654579811,-0.09016639272082033,Hotel
5,"City of London, City of London",51.5156177,-0.0919983,The Merchant House,51.513264,-0.093039,Cocktail Bar
6,"City of London, City of London",51.5156177,-0.0919983,Blue Cow Yoga,51.51528559031631,-0.08976422627667482,Yoga Studio
7,"City of London, City of London",51.5156177,-0.0919983,Coq d'Argent,51.513303279109444,-0.0910358067859018,French Restaurant
8,"City of London, City of London",51.5156177,-0.0919983,Guildhall Art Gallery,51.51555072911845,-0.09200376728625424,Art Gallery
9,"City of London, City of London",51.5156177,-0.0919983,Burger & Lobster,51.51368716465748,-0.09464257378721523,Seafood Restaurant
10,"City of London, City of London",51.5156177,-0.0919983,One New Change Rooftop,51.51391176437131,-0.09577454922475599,Scenic Lookout
11,"City of London, City of London",51.5156177,-0.0919983,Manicomio,51.51536891323096,-0.09541400116488372,Italian Restaurant
12,"City of London, City of London",51.5156177,-0.0919983,Porterford Butchers,51.51303235326847,-0.09373702135804958,Butcher
13,"City of London, City of London",51.5156177,-0.0919983,The Trading House,51.51506346595909,-0.09142715063542992,Modern European Restaurant
14,"City of London, City of London",51.5156177,-0.0919983,Host,51.51262873320867,-0.09321063204672514,Coffee Shop
15,"City of London, City of London",51.5156177,-0.0919983,Apex London Wall Hotel,51.51592789755909,-0.08765545829484747,Hotel
16,"City of London, City of London",51.5156177,-0.0919983,Madison,51.51381968475064,-0.09539032987004036,Cocktail Bar
17,"City of London, City of London",51.5156177,-0.0919983,Rosslyn,51.51252717199773,-0.09332674977722086,Coffee Shop
18,"City of London, City of London",51.5156177,-0.0919983,Café Nespresso,51.514006,-0.092575,Coffee Shop
19,"City of London, City of London",51.5156177,-0.0919983,M&S Simply Food,51.5135266223072,-0.096169888396353,Grocery Store
